sample_index,value
0,-11300
1,-15940
2,-11550
3,-11308
4,-15962
5,-11536
6,-11298
7,-15980
8,-11546
9,-11308
10,-15996
11,-11572
12,-11310
13,-16028
14,-11594
15,-11326
16,-16024
17,-11624
18,-11374
19,-16032
20,-11656
21,-11418
22,-16066
23,-11698
24,-11430
25,-16096
26,-11740
27,-11434
28,-16164
29,-11766
30,-11442
31,-16212
32,-11752
33,-11420
34,-16200
35,-11738
36,-11400
37,-16160
38,-11706
39,-11368
40,-16146
41,-11660
42,-11332
43,-16126
44,-11600
45,-11276
46,-16082
47,-11526
48,-11232
49,-16046
50,-11488
51,-11230
52,-16020
53,-11452
54,-11220
55,-15978
56,-11410
57,-11238
58,-15918
59,-11404
60,-11234
61,-15882
62,-11442
63,-11224
64,-15898
65,-11490
66,-11240
67,-15942
68,-11538
69,-11254
70,-15920
71,-11574
72,-11266
73,-15908
74,-11614
75,-11256
76,-15942
77,-11644
78,-11238
79,-15962
80,-11622
81,-11234
82,-15960
83,-11606
84,-11256
85,-15918
86,-11596
87,-11288
88,-15924
89,-11582
90,-11312
91,-15958
92,-11548
93,-11338
94,-15978
95,-11542
96,-11382
97,-15974
98,-11560
99,-11432
100,-15964
101,-11586
102,-11444
103,-15942
104,-11620
105,-11424
106,-15906
107,-11638
108,-11424
109,-15922
110,-11672
111,-11456
112,-15946
113,-11696
114,-11470
115,-15960
116,-11742
117,-11440
118,-15954
119,-11788
120,-11412
121,-15960
122,-11792
123,-11430
124,-15984
125,-11764
126,-11472
127,-15996
128,-11694
129,-11506
130,-16036
131,-11660
132,-11514
133,-16084
134,-11648
135,-11528
136,-16100
137,-11622
138,-11544
139,-16092
140,-11598
141,-11552
142,-16050
143,-11588
144,-11534
145,-16074
146,-11594
147,-11496
148,-16134
149,-11578
150,-11442
151,-16156
152,-11576
153,-11390
154,-16148
155,-11594
156,-11374
157,-16128
158,-11612
159,-11348
160,-16122
161,-11600
162,-11314
163,-16130
164,-11612
165,-11286
166,-16144
167,-11662
168,-11252
169,-16132
170,-11652
171,-11226
172,-16114
173,-11646
174,-11218
175,-16074
176,-11642
177,-11230
178,-16048
179,-11634
180,-11240
181,-16056
182,-11604
183,-11236
184,-16010
185,-11544
186,-11190
187,-15998
188,-11516
189,-11148
190,-16030
191,-11508
192,-11102
193,-16028
194,-11490
195,-11044
196,-15994
197,-11440
198,-11026
199,-15958
200,-11384
201,-11032
202,-15964
203,-11318
204,-11056
205,-15950
206,-11250
207,-11062
208,-15906
209,-11200
210,-11036
211,-15840
212,-11146
213,-11036
214,-15784
215,-11152
216,-11032
217,-15786
218,-11182
219,-11024
220,-15808
221,-11206
222,-11000
223,-15812
224,-11220
225,-10964
226,-15776
227,-11202
228,-10962
229,-15762
230,-11218
231,-10976
232,-15758
233,-11228
234,-10970
235,-15754
236,-11236
237,-10952
238,-15786
239,-11236
240,-10972
241,-15760
242,-11210
243,-11002
244,-15696
245,-11206
246,-11042
247,-15662
248,-11236
249,-11080
250,-15650
251,-11264
252,-11058
253,-15646
254,-11288
255,-11044
256,-15654
257,-11332
258,-11096
259,-15674
260,-11360
261,-11152
262,-15704
263,-11364
264,-11190
265,-15716
266,-11390
267,-11182
268,-15732
269,-11396
270,-11162
271,-15768
272,-11386
273,-11164
274,-15792
275,-11386
276,-11154
277,-15820
278,-11412
279,-11172
280,-15862
281,-11462
282,-11206
283,-15872
284,-11492
285,-11224
286,-15858
287,-11510
288,-11250
289,-15868
290,-11534
291,-11290
292,-15888
293,-11566
294,-11340
295,-15908
296,-11592
297,-11376
298,-15968
299,-11632
300,-11400
301,-16038
302,-11652
303,-11418
304,-16080
305,-11640
306,-11422
307,-16112
308,-11644
309,-11436
310,-16144
311,-11652
312,-11426
313,-16200
314,-11664
315,-11440
316,-16216
317,-11676
318,-11484
319,-16224
320,-11718
321,-11542
322,-16284
323,-11776
324,-11604
325,-16342
326,-11830
327,-11644
328,-16368
329,-11900
330,-11692
331,-16388
332,-11974
333,-11732
334,-16456
335,-12064
336,-11766
337,-16498
338,-12142
339,-11772
340,-16550
341,-12176
342,-11738
343,-16598
344,-12156
345,-11704
346,-16642
347,-12116
348,-11736
349,-16672
350,-12126
351,-11788
352,-16628
353,-12158
354,-11798
355,-16600
356,-12166
357,-11812
358,-16554
359,-12162
360,-11844
361,-16526
362,-12152
363,-11894
364,-16514
365,-12170
366,-11942
367,-16500
368,-12220
369,-11994
370,-16518
371,-12240
372,-12026
373,-16566
374,-12254
375,-12016
376,-16644
377,-12274
378,-12006
379,-16708
380,-12284
381,-12016
382,-16764
383,-12304
384,-12020
385,-16778
386,-12302
387,-12000
388,-16766
389,-12294
390,-11988
391,-16754
392,-12300
393,-12016
394,-16700
395,-12308
396,-12048
397,-16664
398,-12306
399,-12066
400,-16634
401,-12282
402,-12046
403,-16618
404,-12270
405,-11990
406,-16650
407,-12288
408,-11942
409,-16700
410,-12286
411,-11892
412,-16724
413,-12254
414,-11830
415,-16720
416,-12214
417,-11772
418,-16710
419,-12184
420,-11740
421,-16678
422,-12160
423,-11722
424,-16660
425,-12138
426,-11718
427,-16650
428,-12102
429,-11704
430,-16648
431,-12064
432,-11708
433,-16602
434,-12048
435,-11724
436,-16522
437,-12060
438,-11750
439,-16512
440,-12072
441,-11756
442,-16488
443,-12048
444,-11708
445,-16464
446,-12040
447,-11686
448,-16494
449,-12060
450,-11710
451,-16518
452,-12076
453,-11756
454,-16536
455,-12086
456,-11758
457,-16528
458,-12096
459,-11712
460,-16522
461,-12084
462,-11658
463,-16520
464,-12048
465,-11646
466,-16474
467,-11996
468,-11664
469,-16394
470,-11962
471,-11636
472,-16332
473,-11932
474,-11596
475,-16264
476,-11898
477,-11564
478,-16216
479,-11878
480,-11552
481,-16190
482,-11844
483,-11552
484,-16146
485,-11804
486,-11514
487,-16128
488,-11788
489,-11488
490,-16146
491,-11782
492,-11454
493,-16164
494,-11772
495,-11444
496,-16130
497,-11768
498,-11470
499,-16124
500,-11766
501,-11452
502,-16142
503,-11766
504,-11408
505,-16142
506,-11752
507,-11360
508,-16142
509,-11742
510,-11384
511,-16154
512,-11744
513,-11408
514,-16168
515,-11744
516,-11418
517,-16178
518,-11768
519,-11434
520,-16202
521,-11778
522,-11424
523,-16216
524,-11784
525,-11424
526,-16250
527,-11788
528,-11406
529,-16268
530,-11782
531,-11392
532,-16264
533,-11806
534,-11384
535,-16270
536,-11820
537,-11388
538,-16276
539,-11820
540,-11408
541,-16268
542,-11784
543,-11434
544,-16230
545,-11732
546,-11468
547,-16202
548,-11700
549,-11500
550,-16180
551,-11672
552,-11520
553,-16186
554,-11664
555,-11512
556,-16178
557,-11666
558,-11484
559,-16138
560,-11678
561,-11464
562,-16110
563,-11704
564,-11446
565,-16094
566,-11730
567,-11408
568,-16124
569,-11736
570,-11394
571,-16130
572,-11700
573,-11396
574,-16122
575,-11680
576,-11414
577,-16118
578,-11664
579,-11434
580,-16104
581,-11624
582,-11456
583,-16078
584,-11614
585,-11492
586,-16084
587,-11624
588,-11530
589,-16148
590,-11648
591,-11550
592,-16208
593,-11664
594,-11492
595,-16208
596,-11664
597,-11464
598,-16188
599,-11648
600,-11482
601,-16202
602,-11640
